"","t","month_position","coverage_interp"
"181",181,41.6283348666053,0.179514259429623
"182",182,41.8583256669733,0.0684287028518856
"183",183,42.0883164673413,0.000353265869365231
"184",184,42.3183072677093,0.00127322907083717
"185",185,42.5482980680773,0.00219319227230912
"186",186,42.7782888684453,0.00311315547378106
"187",187,43.0082796688133,0.00414903403863853
"188",188,43.2382704691812,0.00828886844526215
"189",189,43.4682612695492,0.0124287028518859
"190",190,43.6982520699172,0.0165685372585097
"191",191,43.9282428702852,0.0207083716651334
"192",192,44.1582336706532,0.0337092916283349
"193",193,44.3882244710212,0.0507286108555659
"194",194,44.6182152713891,0.0677479300827969
"195",195,44.8482060717571,0.0847672493100278
"196",196,45.0781968721251,0.110857405703773
"197",197,45.3081876724931,0.15455565777369
"198",198,45.5381784728611,0.198253909843606
"199",199,45.7681692732291,0.241952161913523
"200",200,45.9981600735971,0.285650413983441
"201",201,46.228150873965,0.308130634774609
"202",202,46.458141674333,0.330439742410304
"203",203,46.688132474701,0.352748850045998
"204",204,46.918123275069,0.375057957681693
"205",205,47.148114075437,0.388480220791168
"206",206,47.378104875805,0.396989880404784
"207",207,47.608095676173,0.405499540018399
"208",208,47.8380864765409,0.414009199632015
"209",209,48.0680772769089,0.425173873045078
"210",210,48.2980680772769,0.442653173873045
"211",211,48.5280588776449,0.460132474701012
"212",212,48.7580496780129,0.477611775528979
"213",213,48.9880404783809,0.495091076356946
"214",214,49.2180312787489,0.499052437902484
"215",215,49.4480220791168,0.502272309107636
"216",216,49.6780128794848,0.505492180312788
"217",217,49.9080036798528,0.508712051517939
"218",218,50.1379944802208,0.511103955841766
"219",219,50.3679852805888,0.51294388224471
"220",220,50.5979760809568,0.514783808647654
"221",221,50.8279668813247,0.516623735050598
"222",222,51.0579576816927,0.518289788408464
"223",223,51.2879484820607,0.519439742410304
"224",224,51.5179392824287,0.520589696412144
"225",225,51.7479300827967,0.521739650413984
"226",226,51.9779208831647,0.522889604415823
"227",227,52.2079116835327,0.523207911683533
"228",228,52.4379024839006,0.523437902483901
"229",229,52.6678932842686,0.523667893284269
"230",230,52.8978840846366,0.523897884084637
"231",231,53.1278748850046,0.456993560257589
"232",232,53.3578656853726,0.336478380864764
"233",233,53.5878564857406,0.215963201471939
"234",234,53.8178472861086,0.0954480220791148
"235",235,54.0478380864765,0.000239190432382728
"236",236,54.2778288868445,0.00138914443422262
"237",237,54.5078196872125,0.00253909843606255
"238",238,54.7378104875805,0.00368905243790248
"239",239,54.9678012879485,0.00483900643974241
"240",240,55.1977920883165,0.00836246550137996
"241",241,55.4277828886845,0.0122723091076357
"242",242,55.6577736890524,0.0161821527138915
"243",243,55.8877644894204,0.0200919963201473
"244",244,56.1177552897884,0.0321269549218035
"245",245,56.3477460901564,0.0519061637534503
"246",246,56.5777368905244,0.0716853725850965
"247",247,56.8077276908924,0.0914645814167433
"248",248,57.0377184912603,0.116109475620975
"249",249,57.2677092916283,0.165557497700092
"250",250,57.4977000919963,0.215005519779209
"251",251,57.7276908923643,0.264453541858326
"252",252,57.9576816927323,0.313901563937443
"253",253,58.1876724931003,0.341954921803128
"254",254,58.4176632934683,0.365183992640295
"255",255,58.6476540938363,0.388413063477461
"256",256,58.8776448942042,0.411642134314627
"257",257,59.1076356945722,0.428413063477461
"258",258,59.3376264949402,0.437842686292548
"259",259,59.5676172953082,0.447272309107636
"260",260,59.7976080956762,0.456701931922723
"261",261,60.0275988960442,0.465607175712972
"262",262,60.2575896964121,0.470666973321067
