Week,Week Ending,Lab-Confirmed Influenza Cases
36,"Sep 05, 2020",0
37,"Sep 12, 2020",0
38,"Sep 19, 2020",0
39,"Sep 26, 2020",0
40,"Oct 03, 2020",0
41,"Oct 10, 2020",0
42,"Oct 17, 2020",0
43,"Oct 24, 2020",0
44,"Oct 31, 2020",0
45,"Nov 07, 2020",0
46,"Nov 14, 2020",0
47,"Nov 21, 2020",0
48,"Nov 28, 2020",0
49,"Dec 05, 2020",0
50,"Dec 12, 2020",0
51,"Dec 19, 2020",0
52,"Dec 26, 2020",0
53,"Jan 02, 2021",0
1,"Jan 09, 2021",0
2,"Jan 16, 2021",0
3,"Jan 23, 2021",0
4,"Jan 30, 2021",0
5,"Feb 06, 2021",0
6,"Feb 13, 2021",0
7,"Feb 20, 2021",0
8,"Feb 27, 2021",0
9,"Mar 06, 2021",0
10,"Mar 13, 2021",0
11,"Mar 20, 2021",0
12,"Mar 27, 2021",0
13,"Apr 03, 2021",0
14,"Apr 10, 2021",0
15,"Apr 17, 2021",0
16,"Apr 24, 2021",0
17,"May 01, 2021",0
18,"May 08, 2021",0
19,"May 15, 2021",0
20,"May 22, 2021",0
21,"May 29, 2021",0
22,"Jun 05, 2021",0
23,"Jun 12, 2021",0
24,"Jun 19, 2021",0
25,"Jun 26, 2021",1
26,"Jul 03, 2021",0
27,"Jul 10, 2021",0
28,"Jul 17, 2021",0
29,"Jul 24, 2021",0
30,"Jul 31, 2021",0
31,"Aug 07, 2021",0
32,"Aug 14, 2021",0
33,"Aug 21, 2021",0
34,"Aug 28, 2021",0
35,"Sep 04, 2021",0
36,"Sep 11, 2021",0
37,"Sep 18, 2021",0
38,"Sep 25, 2021",0
39,"Oct 02, 2021",0
40,"Oct 09, 2021",0
41,"Oct 16, 2021",0
42,"Oct 23, 2021",0
43,"Oct 30, 2021",0
44,"Nov 06, 2021",0
45,"Nov 13, 2021",0
46,"Nov 20, 2021",0
47,"Nov 27, 2021",2
48,"Dec 04, 2021",4
49,"Dec 11, 2021",2
50,"Dec 18, 2021",1
51,"Dec 25, 2021",1
52,"Jan 01, 2022",5
1,"Jan 08, 2022",0
2,"Jan 15, 2022",4
3,"Jan 22, 2022",0
4,"Jan 29, 2022",0
5,"Feb 05, 2022",0
6,"Feb 12, 2022",0
7,"Feb 19, 2022",0
8,"Feb 26, 2022",0
9,"Mar 05, 2022",0
10,"Mar 12, 2022",2
11,"Mar 19, 2022",0
12,"Mar 26, 2022",2
13,"Apr 02, 2022",2
14,"Apr 09, 2022",7
15,"Apr 16, 2022",18
16,"Apr 23, 2022",20
17,"Apr 30, 2022",17
18,"May 07, 2022",37
19,"May 14, 2022",32
20,"May 21, 2022",22
21,"May 28, 2022",19
22,"Jun 04, 2022",41
23,"Jun 11, 2022",41
24,"Jun 18, 2022",47
25,"Jun 25, 2022",38
26,"Jul 02, 2022",22
27,"Jul 09, 2022",9
28,"Jul 16, 2022",14
29,"Jul 23, 2022",2
30,"Jul 30, 2022",2
31,"Aug 06, 2022",1
32,"Aug 13, 2022",0
33,"Aug 20, 2022",0
34,"Aug 27, 2022",0
35,"Sep 03, 2022",0
36,"Sep 10, 2022",0
37,"Sep 17, 2022",1
38,"Sep 24, 2022",1
39,"Oct 01, 2022",4
40,"Oct 08, 2022",0
41,"Oct 15, 2022",7
42,"Oct 22, 2022",4
43,"Oct 29, 2022",14
44,"Nov 05, 2022",35
45,"Nov 12, 2022",107
46,"Nov 19, 2022",248
47,"Nov 26, 2022",574
48,"Dec 03, 2022",682
49,"Dec 10, 2022",738
50,"Dec 17, 2022",461
51,"Dec 24, 2022",273
52,"Dec 31, 2022",150
1,"Jan 07, 2023",73
2,"Jan 14, 2023",35
3,"Jan 21, 2023",17
4,"Jan 28, 2023",2
5,"Feb 04, 2023",3
6,"Feb 11, 2023",1
7,"Feb 18, 2023",0
8,"Feb 25, 2023",0
9,"Mar 04, 2023",2
10,"Mar 11, 2023",1
11,"Mar 18, 2023",3
12,"Mar 25, 2023",1
13,"Apr 01, 2023",1
14,"Apr 08, 2023",1
15,"Apr 15, 2023",3
16,"Apr 22, 2023",2
17,"Apr 29, 2023",3
18,"May 06, 2023",3
19,"May 13, 2023",3
20,"May 20, 2023",2
21,"May 27, 2023",1
22,"Jun 03, 2023",0
23,"Jun 10, 2023",1
24,"Jun 17, 2023",5
25,"Jun 24, 2023",1
26,"Jul 01, 2023",1
27,"Jul 08, 2023",0
28,"Jul 15, 2023",0
29,"Jul 22, 2023",0
30,"Jul 29, 2023",0
31,"Aug 05, 2023",0
32,"Aug 12, 2023",1
33,"Aug 19, 2023",11
34,"Aug 26, 2023",0
35,"Sep 02, 2023",0
36,"Sep 09, 2023",0
37,"Sep 16, 2023",0
38,"Sep 23, 2023",1
39,"Sep 30, 2023",2
40,"Oct 07, 2023",4
41,"Oct 14, 2023",6
42,"Oct 21, 2023",5
43,"Oct 28, 2023",6
44,"Nov 04, 2023",7
45,"Nov 11, 2023",11
46,"Nov 18, 2023",17
47,"Nov 25, 2023",14
48,"Dec 02, 2023",30
49,"Dec 09, 2023",49
50,"Dec 16, 2023",57
51,"Dec 23, 2023",133
52,"Dec 30, 2023",183
1,"Jan 06, 2024",193
2,"Jan 13, 2024",179
3,"Jan 20, 2024",239
4,"Jan 27, 2024",277
5,"Feb 03, 2024",267
6,"Feb 10, 2024",204
7,"Feb 17, 2024",134
8,"Feb 24, 2024",129
9,"Mar 02, 2024",104
10,"Mar 09, 2024",143
11,"Mar 16, 2024",143
12,"Mar 23, 2024",116
13,"Mar 30, 2024",112
14,"Apr 06, 2024",115
15,"Apr 13, 2024",102
16,"Apr 20, 2024",120
17,"Apr 27, 2024",75
18,"May 04, 2024",74
19,"May 11, 2024",59
20,"May 18, 2024",34
21,"May 25, 2024",21
22,"Jun 01, 2024",4
23,"Jun 08, 2024",8
24,"Jun 15, 2024",8
25,"Jun 22, 2024",2
26,"Jun 29, 2024",1
27,"Jul 06, 2024",3
28,"Jul 13, 2024",3
29,"Jul 20, 2024",0
30,"Jul 27, 2024",0
31,"Aug 03, 2024",2
32,"Aug 10, 2024",1
33,"Aug 17, 2024",0
34,"Aug 24, 2024",1
35,"Aug 31, 2024",0
