"","FlightDate","n_dep_delay","n_arr_delay","n_delay"
"326",2024-11-21,8030,8320,16350
"327",2024-11-22,7973,8000,15973
"328",2024-11-23,6293,5867,12160
"329",2024-11-24,6272,6333,12605
"330",2024-11-25,6055,5928,11983
"331",2024-11-26,6791,6470,13261
"332",2024-11-27,6334,6624,12958
"333",2024-11-28,2335,2116,4451
"334",2024-11-29,5145,5026,10171
"335",2024-11-30,8431,7971,16402
