kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_delivname,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
12647577,K04530.01,12.636,1.07,2.40E-02,1.00E+00,q1_q17_dr25_koi,0.102,51,2.43,5.30E-11,3.40E-11,4.70E-03,1.20E-04,5.10E-05,1.90E-02,0.01,5747,72.31,-71.43,0.98,0.045,-0.041,1,0.037,-0.04,9.61,0.17,-0.277,728,36.73,-31.97,0.18,0.067,-0.072
2710623,K04532.01,1.021,0.53,2.10E-03,1.00E+00,q1_q17_dr25_koi,0.007,25,0.5,1.30E-35,1.40E-24,1.60E-07,6.80E-08,8.50E-07,1.80E-05,0.005,5651,165.97,-132.55,0.97,0.133,-0.086,0.95,0.064,-0.057,9.77,0.227,-0.403,654,90.43,-62,0.18,0.141,-0.116
3330684,K04533.01,1.261,0.14,1.00E+00,0.00E+00,q1_q17_dr25_koi,0.001,41,0.69,0.00E+00,0.00E+00,1.90E-05,6.60E-211,1.20E-293,5.20E-08,0.01,3050,1.29,-0.78,0.13,0.003,-0.002,0.1,0.004,-0.001,9.89,0.165,-0.328,17,0.49,-0.25,0.52,0.002,-0.003
7699298,K04534.01,1.158,0.72,1.00E+00,0.00E+00,q1_q17_dr25_koi,0.039,26,1.44,4.20E-77,3.30E-46,8.00E-38,5.90E-15,1.50E-12,2.40E-13,0.007,5576,119.62,-163.84,0.94,0.13,-0.088,0.92,0.053,-0.058,9.89,0.154,-0.415,427,60.52,-43.35,0.44,0.102,-0.151
3547760,K04535.01,9.848,0.94,5.90E-02,1.00E+00,q1_q17_dr25_koi,0.075,86,1.98,3.70E-09,9.00E-10,1.90E-02,1.90E-05,8.00E-05,4.00E-02,0.011,5148,98.33,-63.33,0.78,0.051,-0.063,0.79,0.047,-0.057,9.93,0.182,-0.395,602,42.25,-52.31,0.08,0.109,-0.056
7281484,K04536.01,0.567,0.5,1.90E-04,1.00E+00,q1_q17_dr25_koi,0.013,7,4.2,7.10E-42,4.30E-41,1.30E-284,3.20E-16,6.90E-14,2.90E-92,0.003,6581,166.39,-156.38,1.54,0.542,-0.264,1.36,0.176,-0.116,9.27,0.125,-0.26,619,212.08,-104.19,0.14,0.105,-0.093
8047428,K04747.01,92.264,2.17,1.80E-03,1.00E+00,q1_q17_dr25_koi,0.219,150,1.62,2.80E-07,3.60E-05,2.00E-04,1.30E-06,1.50E-05,5.30E-05,0.016,6079,74.03,-83.34,1.24,0.147,-0.117,1.14,0.054,-0.046,9.59,0.105,-0.194,1462,171.3,-141.64,0.22,0.06,-0.066
11513486,K04748.01,6.648,2.08,1.40E-02,1.00E+00,q1_q17_dr25_koi,0.218,119,1.92,2.60E-04,9.20E-03,2.50E-03,1.10E-04,3.40E-04,2.00E-03,0.016,5913,64.94,-82.26,1.19,0.347,-0.154,1.11,0.127,-0.059,9.6,0.13,-0.305,1814,525.28,-235.39,0.22,0.027,-0.06
6520519,K04749.01,1.977,0.97,7.10E-04,1.00E+00,q1_q17_dr25_koi,0.082,46,2.34,2.60E-14,1.10E-09,3.40E-04,4.40E-07,1.40E-05,1.40E-04,0.01,5424,86.41,-94.56,0.89,0.092,-0.064,0.88,0.043,-0.044,9.91,0.174,-0.429,1092,117.41,-84.55,0.15,0.078,-0.092
5308296,K04750.01,36.722,2.15,3.30E-02,1.00E+00,q1_q17_dr25_koi,0.218,336,5.4,6.80E-10,5.30E-09,1.30E-02,1.90E-06,8.80E-07,1.80E-02,0.021,5532,216.97,-152.26,0.94,0.132,-0.09,0.92,0.067,-0.049,9.8,0.246,-0.424,1352,203.25,-140.32,0.24,0.188,-0.142
